file_path,special_info,Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos,start_time,omega,phase/pi,iae_angle,iae_position,max_angle_deviation,max_position_overshoot,control_effort_proxy,fitness_score
.\cart_pendulum_data_4\pid_set_1\23-07-csv\pid-12-26-42.csv,,700.0,490.0,2.75,-0.04,0.0,-0.008,3468.968,2.0,0.0,2.6041999999999996,35006.0,0.431,2493.0,79.63857414,18016.065257414
.\cart_pendulum_data_1\pid_set_10\22-07-csv\pid-17-29-56.csv,,500.0,350.0,2.75,-0.04,0.0,-0.008,1567.488,2.0,0.0,6.216,37356.0,1.0293,2575.0,187.63563666,19227.283463666
.\cart_pendulum_data_2\pid_set_7\23-07-csv\pid-11-39-19.csv,,600.0,420.0,2.75,-0.04,0.0,-0.008,626.592,2.0,0.0,4.5308,37994.0,0.7839,2624.0,124.33249813999998,19545.646549814
.\cart_pendulum_data_1\pid_set_16\22-07-csv\pid-17-37-32.csv,,500.0,350.0,2.75,-0.08,0.0,-0.008,2023.281,2.0,0.0,11.1244,40082.0,1.3514,1807.0,439.8224445000001,20472.68524445
.\cart_pendulum_data_2\pid_set_16\23-07-csv\pid-11-51-46.csv,,600.0,420.0,3.5,-0.04,0.0,-0.008,1373.577,2.0,0.0,3.2984,40218.0,0.5676,2676.0,85.56872956,20661.056472956
.\cart_pendulum_data_1\pid_set_26\22-07-csv\pid-17-50-07.csv,,500.0,350.0,3.5,-0.08,0.0,-0.014,2726.866,2.0,0.0,5.3538,40442.0,0.3344,2801.0,67.01845725999999,20799.612645726
.\cart_pendulum_data_9\pid_set_9\23-07-csv\pid-15-34-27.csv,,450.0,315.0,3.0,-0.057,0.0,-0.005,554.696,2.0,0.0,18.707800000000002,42420.0,2.5602,1339.0,1133.9963456599999,21636.295834566
.\cart_pendulum_data_4\pid_set_10\23-07-csv\pid-12-40-24.csv,,700.0,490.0,3.5,-0.04,0.0,-0.008,4291.409,2.0,0.0,1.5924,42402.0,0.2562,2697.0,18.14412618,21746.167812618
.\cart_pendulum_data_4\pid_set_2\23-07-csv\pid-12-27-35.csv,,700.0,490.0,2.75,-0.04,0.0,-0.014,3522.717,2.0,0.0,1.0368,43154.0,0.1779,2737.0,30.58220786,22130.065520786
.\cart_pendulum_data_2\pid_set_13\23-07-csv\pid-11-47-38.csv,,600.0,420.0,2.75,-0.08,0.0,-0.008,1125.12,2.0,0.0,13.3214,43612.0,1.7426,1396.0,572.2225503,22174.292855030002
.\cart_pendulum_data_1\pid_set_25\22-07-csv\pid-17-49-15.csv,,500.0,350.0,3.5,-0.08,0.0,-0.008,2597.845,2.0,0.0,4.724399999999999,43694.0,0.2777,2860.0,52.30236662,22434.512136661997
.\cart_pendulum_data_3\pid_set_5\23-07-csv\pid-12-03-28.csv,,600.0,420.0,3.5,-0.08,0.0,-0.008,2075.089,2.0,0.0,20.721400000000003,46568.0,2.8087,1410.0,1357.7898304599996,23751.647883046
.\cart_pendulum_data_9\pid_set_4\23-07-csv\pid-15-29-49.csv,,450.0,315.0,3.0,-0.03,0.0,-0.015,277.614,2.0,0.0,1.3279999999999998,46496.0,0.1856,2804.0,33.51695274,23815.364495273996
.\cart_pendulum_data_3\pid_set_8\23-07-csv\pid-12-08-08.csv,,700.0,490.0,2.0,-0.04,0.0,-0.008,2355.458,2.0,0.0,1.7336,48088.0,0.2761,2890.0,43.59041494,24630.654541494
.\cart_pendulum_data_9\pid_set_5\23-07-csv\pid-15-30-44.csv,,450.0,315.0,3.0,-0.043,0.0,-0.005,331.284,2.0,0.0,15.962800000000001,50432.0,2.212,1761.0,829.2204865799999,25689.683648658
.\cart_pendulum_data_1\pid_set_20\22-07-csv\pid-17-41-59.csv,,500.0,350.0,3.5,-0.04,0.0,-0.014,2290.864,2.0,0.0,1.0577999999999999,51610.0,0.1703,2984.0,20.534628379999997,26406.479962838002
.\cart_pendulum_data_2\pid_set_4\23-07-csv\pid-11-35-11.csv,,600.0,420.0,2.0,-0.08,0.0,-0.008,378.453,2.0,0.0,24.470399999999998,52876.0,3.2827,1719.0,1388.9778790599999,26979.486687906
.\cart_pendulum_data_1\pid_set_13\22-07-csv\pid-17-34-06.csv,,500.0,350.0,2.75,-0.06,0.0,-0.008,1815.109,2.0,0.0,14.252600000000001,54428.0,1.8162,1765.0,606.62151934,27661.615951934
.\cart_pendulum_data_4\pid_set_7\23-07-csv\pid-12-34-16.csv,,700.0,490.0,2.75,-0.08,0.0,-0.008,3922.236,2.0,0.0,13.8852,57690.0,1.7211,1461.0,559.9834594199999,29226.132045942002
.\cart_pendulum_data_1\pid_set_14\22-07-csv\pid-17-35-01.csv,,500.0,350.0,2.75,-0.06,0.0,-0.014,1871.272,2.0,0.0,27.5168,58744.0,3.3119,1255.0,1514.95900354,29839.465200354
.\cart_pendulum_data_9\pid_set_8\23-07-csv\pid-15-33-33.csv,,450.0,315.0,3.0,-0.043,0.0,-0.015,501.027,2.0,0.0,1.4632,60820.0,0.1258,2973.0,24.49569056,31010.353369056
